,SCH_ID,SCH_NAME,PSGC_PROV,PSGC_MUNI,PSGC_BRGY,LAT,LONG,address_type,geometry,SCH_CAT_CES,SCH_CAT_ES,SCH_CAT_JHS,SCH_CAT_MD,SCH_CAT_PES,SCH_CAT_PJHS,SCH_CAT_PS,SCH_CAT_PSHS,SCH_CAT_SHS,SCH_CAT_SUC,CES_SCH_PROV,ES_SCH_PROV,JHS_SCH_PROV,MD_SCH_PROV,PES_SCH_PROV,PJHS_SCH_PROV,PS_SCH_PROV,PSHS_SCH_PROV,SHS_SCH_PROV,SUC_SCH_PROV,CES_SCH_MUNI,ES_SCH_MUNI,JHS_SCH_MUNI,MD_SCH_MUNI,PES_SCH_MUNI,PJHS_SCH_MUNI,PS_SCH_MUNI,PSHS_SCH_MUNI,SHS_SCH_MUNI,SUC_SCH_MUNI,CES_SCH_BRGY,ES_SCH_BRGY,JHS_SCH_BRGY,MD_SCH_BRGY,PES_SCH_BRGY,PJHS_SCH_BRGY,PS_SCH_BRGY,PSHS_SCH_BRGY,SHS_SCH_BRGY,SUC_SCH_BRGY,BRGY_SCHOOLS,brgy_area,schools_over_brgy_area,MUNI_SCHOOLS,muni_area,schools_over_muni_area,PROV_SCHOOLS,prov_area,schools_over_prov_area,Pop2010,Pop2015,HH_pop,num_hh0,num_hh0_mal,num_hh0_fem,Total_Pop,Male_Pop,Female_Pop,Total_under10,Total_10to20,Total_21to30,Total_31to60,Total_over60,Female_under10,Female_10to20,Female_21to30,Female_31to60,Female_over60,Male_under10,Male_10to20,Male_21to30,Male_31to60,Male_over60
233,133298,Bantayao PS,PH153600000,PH153611000,PH153611008,7.84232,124.376257,given,POINT (124.376257 7.84232),0,1,0,0,0,0,0,0,0,0,74.0,288.0,87.0,19.0,44.0,32.0,333.0,26.0,54.0,20.0,3.0,10.0,4.0,2.0,0.0,1.0,15.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.43212994462823395,2.3141187331054107,35,262.9889883084503,0.13308542013534713,978,3836.238356446714,0.25493723515810546,836.0,951.0,928.0,155.0,150.0,5.0,951.0,454.0,497.0,316.0,223.0,142.0,247.0,23.0,177.0,110.0,74.0,127.0,9.0,139.0,113.0,68.0,120.0,14.0
234,133299,Bararay PS,PH153600000,PH153611000,PH153611083,7.859764,124.373406,given,POINT (124.373406 7.859764),0,0,0,0,0,0,1,0,0,0,74.0,288.0,87.0,19.0,44.0,32.0,333.0,26.0,54.0,20.0,3.0,10.0,4.0,2.0,0.0,1.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,0.6062050705419889,1.649606789177681,35,262.9889883084503,0.13308542013534713,978,3836.238356446714,0.25493723515810546,953.0,1059.0,1059.0,153.0,142.0,11.0,1059.0,531.0,528.0,423.0,277.0,126.0,212.0,21.0,217.0,125.0,71.0,104.0,11.0,206.0,152.0,55.0,108.0,10.0
235,133277,Barimbingan ES,PH153600000,PH153624000,PH153624006,7.99676,124.346663,given,POINT (124.346663 7.99676),0,1,0,0,0,0,0,0,0,0,74.0,288.0,87.0,19.0,44.0,32.0,333.0,26.0,54.0,20.0,2.0,10.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2.486920317296456,0.4021037558159906,21,18.964883429857018,1.1073097326260932,978,3836.238356446714,0.25493723515810546,518.0,850.0,850.0,133.0,125.0,8.0,850.0,436.0,414.0,229.0,193.0,159.0,244.0,25.0,101.0,100.0,80.0,122.0,11.0,128.0,93.0,79.0,122.0,14.0
236,215543,Barit PS,PH153600000,PH153611000,PH153603008,7.854167,124.408056,given,POINT (124.408056 7.854167),0,0,0,0,0,0,1,0,0,0,74.0,288.0,87.0,19.0,44.0,32.0,333.0,26.0,54.0,20.0,3.0,10.0,4.0,2.0,0.0,1.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3,2.418916999722963,1.240224447694397,35,262.9889883084503,0.13308542013534713,978,3836.238356446714,0.25493723515810546,,,,,,,,,,,,,,,,,,,,,,,,
237,215527,Barith ES,PH153600000,PH153622000,PH153606058,7.846267,124.332811,given,POINT (124.332811 7.846267),0,1,0,0,0,0,0,0,0,0,74.0,288.0,87.0,19.0,44.0,32.0,333.0,26.0,54.0,20.0,3.0,11.0,1.0,0.0,0.0,0.0,4.0,0.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,3.4335209912118883,1.1649848683721513,21,19.316752419780578,1.087139263559425,978,3836.238356446714,0.25493723515810546,,,,,,,,,,,,,,,,,,,,,,,,
238,133214,Barrit PS,PH153600000,PH153603000,PH153603008,7.916716,124.171948,given,POINT (124.171948 7.916716),0,0,0,0,0,0,1,0,0,0,74.0,288.0,87.0,19.0,44.0,32.0,333.0,26.0,54.0,20.0,2.0,12.0,0.0,0.0,0.0,0.0,20.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3,2.418916999722963,1.240224447694397,36,40.419892674702794,0.8906505588653126,978,3836.238356446714,0.25493723515810546,658.0,674.0,674.0,115.0,110.0,5.0,674.0,320.0,354.0,243.0,151.0,105.0,163.0,12.0,134.0,77.0,55.0,82.0,6.0,109.0,74.0,50.0,81.0,6.0
239,133429,Basak PS,PH153600000,PH153621000,PH153605004,8.014764,124.181428,given,POINT (124.181428 8.014764),0,0,0,0,0,0,1,0,0,0,74.0,288.0,87.0,19.0,44.0,32.0,333.0,26.0,54.0,20.0,2.0,5.0,2.0,0.0,0.0,0.0,22.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2,0.4513137122926247,4.431507276480072,33,122.86179550507296,0.26859447938507,978,3836.238356446714,0.25493723515810546,,,,,,,,,,,,,,,,,,,,,,,,
240,133273,Batal Pagilidan ES,PH153600000,PH153624000,PH153624070,7.968874,124.343396,given,POINT (124.343396 7.968874),0,1,0,0,0,0,0,0,0,0,74.0,288.0,87.0,19.0,44.0,32.0,333.0,26.0,54.0,20.0,2.0,10.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2,0.10017104761789487,19.965848891079318,21,18.964883429857018,1.1073097326260932,978,3836.238356446714,0.25493723515810546,576.0,701.0,701.0,98.0,89.0,9.0,701.0,344.0,357.0,267.0,141.0,125.0,155.0,13.0,136.0,71.0,63.0,80.0,7.0,131.0,70.0,62.0,75.0,6.0
241,133251,Batangan CES,PH153600000,PH153606000,PH153606005,7.991871,124.393648,given,POINT (124.393648 7.991871),1,0,0,0,0,0,0,0,0,0,74.0,288.0,87.0,19.0,44.0,32.0,333.0,26.0,54.0,20.0,2.0,6.0,1.0,0.0,0.0,0.0,7.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.6928850239024124,2.886481784143288,18,150.32454342230446,0.11974092580100425,978,3836.238356446714,0.25493723515810546,546.0,1013.0,1013.0,139.0,130.0,9.0,1013.0,490.0,523.0,272.0,256.0,229.0,228.0,28.0,142.0,132.0,114.0,122.0,13.0,130.0,124.0,115.0,106.0,15.0
242,133936,Datu Yuseff Paglas ES,PH153800000,PH153803000,PH153803039,6.716546,124.793466,given,POINT (124.793466 6.716546),0,1,0,0,0,0,0,0,0,0,48.0,390.0,34.0,12.0,33.0,9.0,114.0,21.0,47.0,1.0,1.0,8.0,0.0,1.0,2.0,1.0,1.0,3.0,1.0,0.0,1.0,2.0,0.0,1.0,2.0,1.0,0.0,3.0,1.0,0.0,11,7.38668512372671,1.489165954112081,18,58.98478727930596,0.3051634299326373,709,5030.584699889684,0.14093789137782486,18161.0,25370.0,25294.0,3566.0,3374.0,192.0,25370.0,12793.0,12577.0,7033.0,7528.0,3647.0,6619.0,543.0,3369.0,3702.0,1885.0,3343.0,278.0,3664.0,3826.0,1762.0,3276.0,265.0
