,Unnamed: 0,category,subcategory,name,geometry,lon,lat
778,634,education,elem_HS,Bukuttua Primary School – Annex Ⅱ,POINT (121.8072139 6.1674087),121.8072139,6.1674087
779,635,education,elementary,Babag Elementary School,POINT (121.954079 6.341968),121.954079,6.341968
780,636,education,elementary,Pisak-pisak Elementary School,POINT (122.0188162 6.3304069),122.0188162,6.3304069
781,637,education,elementary,Bukutumus Elementary School,POINT (122.0234013 6.3469573),122.0234013,6.3469573
782,638,education,elementary,Ulitan Elementary School,POINT (122.0998364 6.4783555),122.0998364,6.4783555
783,639,education,elementary,Cabengbeng Elementary School,POINT (122.0802285 6.4742585),122.0802285,6.4742585
784,640,education,elementary,Bohe Suyak Elementary School,POINT (122.1050067 6.4585084),122.1050067,6.4585084
785,641,education,elementary,Lawi-lawi Elementary School,POINT (121.8089738 6.595595),121.8089738,6.595595
796,652,education,elem_HS,unnamed,POINT (124.294365 7.37889),124.294365,7.37889
797,653,education,elem_HS,unnamed,POINT (124.314023 7.4401428),124.314023,7.4401428
798,654,education,elem_HS,unnamed,POINT (124.3209457 7.3956583),124.3209457,7.3956583
799,655,education,elem_HS,unnamed,POINT (124.338246 7.3926526),124.338246,7.3926526
800,656,education,elem_HS,unnamed,POINT (124.1817686 7.6630235),124.1817686,7.6630235
801,657,education,elem_HS,unnamed,POINT (124.1710424 7.6848286),124.1710424,7.6848286
808,664,education,elementary,Punung Elementary School,POINT (124.2661871 7.7571193),124.2661871,7.7571193
809,665,education,elem_HS,Tabuan Primary School,POINT (124.1155609 7.8153752),124.1155609,7.8153752
811,667,education,elementary,Salih Ututalum Elementary School,POINT (121.0011998 6.0506461),121.0011998,6.0506461
812,668,education,elementary,Panducan Elementary School,POINT (121.6195491 6.5632541),121.6195491,6.5632541
813,669,education,elem_HS,Salisa Primary School,POINT (121.6066474 6.6668194),121.6066474,6.6668194
814,670,education,elem_HS,Calayan Primary School,POINT (121.8458819 6.5876995),121.8458819,6.5876995
815,671,education,elementary,Abong-abong Elementary School,POINT (121.9145042 6.5078456),121.9145042,6.5078456
816,672,education,elem_HS,Pali Primary School,POINT (121.9223567 6.4804781),121.9223567,6.4804781
817,673,education,elem_HS,Bagoa-ingud Primary School,POINT (124.3497866 7.9155778),124.3497866,7.9155778
818,674,education,elem_HS,Tubok Primary School,POINT (124.3312938 7.879843),124.3312938,7.879843
819,675,education,elem_HS,Asaron Primary School,POINT (119.8757663 5.0974962),119.8757663,5.0974962
820,676,education,elem_HS,Tinutungan Primary School,POINT (122.0228774 6.3308537),122.0228774,6.3308537
821,677,education,elem_HS,Patok-patok Primary School,POINT (119.8717857 5.0796278),119.8717857,5.0796278
822,678,education,elem_HS,Buai Primary school,POINT (119.926907 5.1023014),119.926907,5.1023014
823,679,education,elem_HS,Sumbilang Primary School,POINT (119.9905193 5.1588359),119.9905193,5.1588359
824,680,education,elem_HS,Tahaw Primary School,POINT (120.2515278 5.4452477),120.2515278,5.4452477
825,681,education,elem_HS,Maraning Primary School,POINT (120.0134569 5.2307823),120.0134569,5.2307823
