,PSGC_BRGY,PSGC_CITY_MUNI,PSGC_PROV,latitude,longitude,Total_under18,Total_18to59,Total_over60,Male_under18,Male_18to59,Male_over60,Female_under18,Female_18to59,Female_over60,hospital_exist,rhu_exist,hospital_count,rhu_count
77,PH153831001,PH153831000,PH153800000,6.933332999999998,124.33333300000001,1821.0,1533.0,101.0,992.0,765.0,46.0,829.0,768.0,55.0,0,1,0,1
78,PH153832008,PH153832000,PH153800000,6.701522100000001,124.8294385,3222.0,2313.0,95.0,1728.0,1156.0,66.0,1494.0,1157.0,29.0,0,1,0,1
79,PH153833006,PH153833000,PH153800000,6.780717500000001,124.7844328,2418.0,1866.0,92.0,1350.0,946.0,49.0,1068.0,920.0,43.0,0,1,0,1
80,PH153834003,PH153834000,PH153800000,7.1981099,124.4697283,1337.0,1534.0,148.0,715.0,808.0,80.0,622.0,726.0,68.0,0,1,0,1
81,PH153835004,PH153835000,PH153800000,6.767450900000001,124.3899973,1654.0,1656.0,247.0,897.0,859.0,128.0,757.0,797.0,119.0,0,1,0,1
82,PH153836016,PH153836000,PH153800000,6.998000800000002,124.48912779999999,2253.0,1603.0,144.0,1052.0,753.0,68.0,1201.0,850.0,76.0,0,1,0,1
83,PH153837010,PH153837000,PH153800000,6.8832957,124.4866557,1077.0,706.0,39.0,559.0,348.0,19.0,518.0,358.0,20.0,0,1,0,1
84,PH156601011,PH156601000,PH156600000,6.0375155,120.9933678,6899.0,8323.0,623.0,3293.0,3947.0,327.0,3606.0,4376.0,296.0,0,1,0,1
85,PH156602002,PH156602000,PH156600000,6.046614,121.001609,11571.0,10861.0,653.0,5650.0,5263.0,309.0,5921.0,5598.0,344.0,1,0,1,0
86,PH156602010,PH156602000,PH156600000,6.0485424000000005,121.00197079999998,5150.0,5912.0,381.0,2587.0,2837.0,227.0,2563.0,3075.0,154.0,0,1,0,1
87,PH156603012,PH156603000,PH156600000,5.895379,121.311269,2992.0,3497.0,176.0,1576.0,1741.0,101.0,1416.0,1756.0,75.0,0,1,0,1
88,PH156604021,PH156604000,PH156600000,5.967772,121.309676,5194.0,5244.0,197.0,2421.0,2556.0,123.0,2773.0,2688.0,74.0,1,0,1,0
89,PH156604024,PH156604000,PH156600000,5.996699700000001,121.311269,1376.0,960.0,40.0,687.0,469.0,20.0,689.0,491.0,20.0,0,1,0,1
90,PH156605023,PH156605000,PH156600000,5.942112,121.02058899999999,4980.0,3913.0,193.0,2461.0,1965.0,96.0,2519.0,1948.0,97.0,1,0,1,0
91,PH156606012,PH156606000,PH156600000,6.1100356,120.9632524,879.0,1063.0,53.0,433.0,528.0,25.0,446.0,535.0,28.0,0,1,0,1
92,PH156607036,PH156607000,PH156600000,0.0,0.0,4933.0,3738.0,118.0,2398.0,1816.0,61.0,2535.0,1922.0,57.0,0,1,0,1
93,PH156608009,PH156608000,PH156600000,6.2517337999999985,120.5451797,1341.0,1401.0,58.0,640.0,694.0,29.0,701.0,707.0,29.0,0,1,0,1
94,PH156608013,PH156608000,PH156600000,6.298825,120.58436,2496.0,2279.0,96.0,1252.0,1127.0,53.0,1244.0,1152.0,43.0,1,0,1,0
95,PH156609016,PH156609000,PH156600000,5.918329,120.916027,1601.0,1265.0,19.0,727.0,645.0,12.0,874.0,620.0,7.0,1,0,1,0
96,PH156609024,PH156609000,PH156600000,5.958553599999999,120.8872137,2177.0,1421.0,54.0,1260.0,710.0,36.0,917.0,711.0,18.0,0,1,0,1
97,PH156609035,PH156609000,PH156600000,5.920161299999998,120.9101738,1065.0,1119.0,51.0,491.0,517.0,25.0,574.0,602.0,26.0,0,1,0,1
98,PH156610013,PH156610000,PH156600000,5.841029,121.157303,2296.0,1978.0,124.0,1072.0,947.0,55.0,1224.0,1031.0,69.0,0,1,0,1
99,PH156611001,PH156611000,PH156600000,6.017573700000002,121.01630790000002,8348.0,8462.0,694.0,4116.0,4072.0,344.0,4232.0,4390.0,350.0,0,1,0,1
100,PH156612009,PH156612000,PH156600000,5.5446114999999985,120.815025,2140.0,2259.0,126.0,1032.0,1033.0,71.0,1108.0,1226.0,55.0,0,1,0,1
101,PH156613004,PH156613000,PH156600000,5.972384,121.1108895,2020.0,1649.0,61.0,1004.0,796.0,33.0,1016.0,853.0,28.0,0,1,0,1
102,PH156614014,PH156614000,PH156600000,5.730589,120.90267800000001,1450.0,1050.0,60.0,745.0,482.0,31.0,705.0,568.0,29.0,1,0,1,0
103,PH156615004,PH156615000,PH156600000,6.08507,121.77818,1912.0,1532.0,56.0,958.0,740.0,23.0,954.0,792.0,33.0,1,0,1,0
104,PH156616007,PH156616000,PH156600000,5.9627576000000015,121.19108190000001,4023.0,3290.0,187.0,1996.0,1621.0,92.0,2027.0,1669.0,95.0,0,1,0,1
105,PH156617011,PH156617000,PH156600000,5.6936791,120.8226155,303.0,285.0,16.0,131.0,129.0,10.0,172.0,156.0,6.0,0,1,0,1
106,PH156618003,PH156618000,PH156600000,5.557808199999998,120.8068196,2108.0,1872.0,129.0,1046.0,931.0,71.0,1062.0,941.0,58.0,0,1,0,1
107,PH156619005,PH156619000,PH156600000,6.001209999999999,121.3856088,1458.0,1316.0,124.0,708.0,640.0,68.0,750.0,676.0,56.0,0,1,0,1
108,PH157001002,PH157001000,PH157000000,5.076055,119.891166,1463.0,1818.0,99.0,737.0,906.0,39.0,726.0,912.0,60.0,1,0,1,0
109,PH157002047,PH157002000,PH157000000,5.018390900000001,119.7614237,3313.0,3290.0,232.0,1679.0,1597.0,119.0,1634.0,1693.0,113.0,0,1,0,1
110,PH157003004,PH157003000,PH157000000,6.9710763999999985,118.5039132,1248.0,1515.0,163.0,656.0,770.0,99.0,592.0,745.0,64.0,0,1,0,1
111,PH157004006,PH157004000,PH157000000,4.8562822,119.8236554,1574.0,1718.0,171.0,848.0,824.0,83.0,726.0,894.0,88.0,0,1,0,1
112,PH157005023,PH157005000,PH157000000,4.6807023,119.4048722,4220.0,3529.0,306.0,2197.0,1723.0,174.0,2023.0,1806.0,132.0,0,1,0,1
113,PH157006025,PH157006000,PH157000000,5.206348200000001,120.59841429999999,248.0,411.0,50.0,109.0,201.0,26.0,139.0,210.0,24.0,0,1,0,1
114,PH157006029,PH157006000,PH157000000,5.1908616,120.48784979999999,455.0,436.0,29.0,235.0,213.0,21.0,220.0,223.0,8.0,0,1,0,1
115,PH157007033,PH157007000,PH157000000,5.126325,120.33922659999999,1519.0,1564.0,161.0,770.0,771.0,93.0,749.0,793.0,68.0,0,1,0,1
116,PH157009004,PH157009000,PH157000000,5.2672112,120.09354840000002,2218.0,1931.0,57.0,1116.0,1034.0,34.0,1102.0,897.0,23.0,0,1,0,1
117,PH157010014,PH157010000,PH157000000,5.096392099999999,120.2772325,622.0,794.0,49.0,302.0,376.0,28.0,320.0,418.0,21.0,0,1,0,1
118,PH157011003,PH157011000,PH157000000,4.8385011,119.4788643,412.0,677.0,69.0,184.0,352.0,34.0,228.0,325.0,35.0,0,1,0,1
